external_id,name,description,price,image_url,category_external_id,category_name,unit,in_stock,active,current_stock,tax_name,tax_rate
4363038,"Clay Cooking Pot 7"" Inch With Lid",,21.99,https://cdn.tmbill.com/backoffice/product-image/https://cdn.tmbill.com/tmpos/backoffice/9438852/products/1ae87ccd-66ec-47a1-ab33-cd912851ef76.png,323967,Kitchen Items,Pieces,true,true,10,VAT,5
4363039,"Clay Cooking Pot 8"" Inch With Lid",,23.99,https://cdn.tmbill.com/backoffice/product-image/https://cdn.tmbill.com/tmpos/backoffice/9438852/products/9b3ce6b5-76ee-47d4-9f37-90b094d9ef38.png,323967,Kitchen Items,Pieces,true,true,10,VAT,5
4363040,"Clay Cooking Pot 9"" Inch With Lid",,25.99,https://cdn.tmbill.com/backoffice/product-image/https://cdn.tmbill.com/tmpos/backoffice/9438852/products/23cacf2f-2b4a-447e-8369-4afb467ba19e.png,323967,Kitchen Items,Pieces,true,true,10,VAT,5
4363041,"Clay Cooking Pot 10"" Inch With Lid",,27.99,https://cdn.tmbill.com/backoffice/product-image/https://cdn.tmbill.com/tmpos/backoffice/9438852/products/4093331b-e533-4ef7-ac38-1fb6f4ac7b2f.png,323967,Kitchen Items,Pieces,true,true,10,VAT,5
4363042,"Clay Cooking Pot 11"" Inch With Lid",,29.99,https://cdn.tmbill.com/backoffice/product-image/https://cdn.tmbill.com/tmpos/backoffice/9438852/products/71c108ed-0e36-4d02-a531-48e9352d60dd.png,323967,Kitchen Items,Pieces,true,true,10,VAT,5
4363043,"Clay Cooking Pot 12"" Inch With Lid",,31.99,https://cdn.tmbill.com/backoffice/product-image/https://cdn.tmbill.com/tmpos/backoffice/9438852/products/6e7aa8b6-2d80-416a-801c-04bc159f594c.png,323967,Kitchen Items,Pieces,true,true,10,VAT,5
4363045,"Clay Cooking Pot 14"" Inch With Lid",,44.99,https://cdn.tmbill.com/backoffice/product-image/https://cdn.tmbill.com/tmpos/backoffice/9438852/products/a0e84947-eea0-45bd-8ee5-91a5307b8b25.png,323967,Kitchen Items,Pieces,true,true,10,VAT,5
4408770,Coca Cola Can 245ml,,2.5,,313474,Beverages,Pieces,true,true,10,VAT @ 5%,5
4408771,Fanta Can 245ml,,2.5,,313474,Beverages,Pieces,true,true,10,VAT @ 5%,5
4408772,Sprite Can 245ml,,2.5,,313474,Beverages,Pieces,true,true,10,VAT @ 5%,5
4408773,Sticks Natural Potato ,,1.99,,323975,Snacks Items,Pieces,true,true,10,VAT @ 5%,5
4408774,Nice Day Cappuccino,,14.99,,323978,Tea & Coffee,Pieces,true,true,10,VAT,5
4408775,Vitamin C 240ml,,3.99,,323960,Ayurvedic,Pieces,true,true,10,VAT,5
4408776,Lois Candy Bar with Coconut Nougat,,4.99,,323928,Chocolate,Pieces,true,true,10,VAT,5
4408777,Lois Candy Bar with Creamy Nougat,,4.99,,323928,Chocolate,Pieces,true,true,10,VAT,5
4408778,Lois Candy Bar with Strawberry Nougat,,4.99,,323928,Chocolate,Pieces,true,true,10,VAT,5
4408779,Cadburry Dairy Milk,,5.99,,323928,Chocolate,Pieces,true,true,10,VAT,5
4408780,Pistachio Kunafa Dubai Chocolate 200g,,7.99,,323928,Chocolate,Pieces,true,true,10,VAT,5
4408781,Dubai Pistachio Kunafa Chocolate 100g,,4.99,,323928,Chocolate,Pieces,true,true,10,VAT,5
4408782,Kunafa Dubai Chocolate 20g,,1.99,,323928,Chocolate,Pieces,true,true,10,VAT,5
4408783,Lokkas Chocolate Swiss Roll,,22.5,,323961,Bakery Items,Pieces,true,true,10,VAT,5
4408784,Le Supreme Mushroom Pieces & Stems,,2.99,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT,5
4408785,Le Supreme Mushroom Whole,,4.5,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT,5
4408786,Le Supreme Evaporated Milk 410g,,3.99,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT @ 5%,5
4408787,Le Supreme Coconut Cream 400ml,,4.99,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT @ 5%,5
4408788,Le Supreme Coconut Milk 400ml,,3.5,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT @ 5%,5
4408789,Le Supreme Pineapple Slices in Light Syrup,,5.99,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT @ 5%,5
4408790,Le Supreme Sweet Corn in Brine,,2.99,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT,5
4408791,Le Supreme Light Meat Tuna Chunks in Sunflower Oil,,5.5,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT,5
4408792,Le Supreme Light Meat Tuna in Vegetable Oil,,4.99,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT,5
4408793,Le Supreme Light Meat Tuna in Sunflower Oil,,3.25,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT,5
4408794,Le Supreme Young Baby Corn in Brine,,5.5,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT @ 5%,5
4408795,Le Supreme Apricot Halves,,7.99,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT @ 5%,5
4408796,Le Supreme Peach Halves,,8.5,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT @ 5%,5
4408797,Le Supreme Pear Halves,,7.5,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT @ 5%,5
4408798,Le Supreme Fruit Cocktail,,7.99,,323964,Dry & Canned Foods,Pieces,true,true,10,VAT,5
4513565,Maliban Chocolate Cream Bsct 100g,,3.5,https://cdn.tmbill.com/backoffice/product-image/https://cdn.tmbill.com/tmpos/backoffice/9438852/products/2ba9fc10-3bdd-425b-80b7-24c00e4c67c1.jpg,323975,Snacks Items,,true,true,20,VAT @ 5%,5
